Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  dealsWith  ?b   ,?a  hasNeighbor  ?b,0.239467849,0.099630996,0.14229249,108,1084,759,?b
?b  dealsWith  ?a   ,?a  hasNeighbor  ?b,0.248337029,0.103321033,0.14340589,112,1084,781,?b
?b  hasNeighbor  ?a   ,?a  hasNeighbor  ?b,0.811529933,0.811529933,0.818791946,366,451,447,?b
?a  exports  ?b   ,?a  imports  ?b,0.112179487,0.11627907,0.130597015,35,301,268,?a
?b  influences  ?a   ,?a  hasAcademicAdvisor  ?b,0.070441989,0.006062767,0.207317073,51,8412,246,?a
?a  imports  ?b   ,?a  exports  ?b,0.11627907,0.112179487,0.134615385,35,312,260,?a
?a  isCitizenOf  ?b   ,?a  isPoliticianOf  ?b,0.072803851,0.045284431,0.733333333,121,2672,165,?a
?a  livesIn  ?b   ,?a  isPoliticianOf  ?b,0.025872443,0.018526497,0.18220339,43,2321,236,?a
?a  isLeaderOf  ?b   ,?a  isPoliticianOf  ?b,0.051143201,0.111256545,0.456989247,85,764,186,?a
?a  graduatedFrom  ?b   ,?a  worksAt  ?b,0.152352502,0.064916468,0.239015817,408,6285,1707,?a
?b  participatedIn  ?a   ,?a  happenedIn  ?b,0.225954567,0.230693314,0.298817514,935,4053,3129,?b
?b  isMarriedTo  ?a   ,?a  isMarriedTo  ?b,0.760553867,0.760553867,0.925225965,2252,2961,2434,?a
?a  created  ?b   ,?a  wroteMusicFor  ?b,0.07879046,0.062743768,0.123169108,370,5897,3004,?b
?a  worksAt  ?b   ,?a  graduatedFrom  ?b,0.064916468,0.152352502,0.174582798,408,2678,2337,?a
?b  happenedIn  ?a   ,?a  participatedIn  ?b,0.230693314,0.225954567,0.243743483,935,4138,3836,?b
?a  created  ?b   ,?a  directed  ?b,0.181528662,0.135323046,0.22983871,798,5897,3472,?b
?a  isLeaderOf  ?b   ,?a  livesIn  ?b,0.016803102,0.05104712,0.184834123,39,764,211,?a
?a  diedIn  ?b   ,?a  livesIn  ?b,0.033606204,0.008802618,0.232142857,78,8861,336,?a
?a  isCitizenOf  ?b   ,?a  livesIn  ?b,0.105557949,0.091691617,0.434397163,245,2672,564,?a
?a  isPoliticianOf  ?b   ,?a  livesIn  ?b,0.018526497,0.025872443,0.204761905,43,1662,210,?a
?a  directed  ?b   ,?a  created  ?b,0.135323046,0.181528662,0.304115854,798,4396,2624,?b
?a  wroteMusicFor  ?b   ,?a  created  ?b,0.062743768,0.07879046,0.151329243,370,4696,2445,?b
?a  livesIn  ?b   ,?a  isCitizenOf  ?b,0.091691617,0.105557949,0.340751043,245,2321,719,?a
?a  isLocatedIn  ?b   ,?a  hasCapital  ?b,0.316131654,0.010020092,0.23726746,778,77644,3279,?a
?a  isPoliticianOf  ?b   ,?a  isCitizenOf  ?b,0.045284431,0.072803851,0.733333333,121,1662,165,?a
?a  wasBornIn  ?b   ,?a  diedIn  ?b,0.095135989,0.023916929,0.174317618,843,35247,4836,?a
?b  hasNeighbor  ?a   ,?a  dealsWith  ?b,0.103321033,0.248337029,0.283544304,112,451,395,?a
?a  hasNeighbor  ?b   ,?a  dealsWith  ?b,0.099630996,0.239467849,0.273417722,108,451,395,?a
?b  dealsWith  ?a   ,?a  dealsWith  ?b,0.090405904,0.090405904,0.108287293,98,1084,905,?a
?b  isConnectedTo  ?a   ,?a  isConnectedTo  ?b,0.524088567,0.524088567,0.53231605,13326,25427,25034,?b
?a  diedIn  ?b   ,?a  wasBornIn  ?b,0.023916929,0.095135989,0.174317618,843,8861,4836,?a
?a  hasCapital  ?b   ,?a  isLocatedIn  ?b,0.010020092,0.316131654,0.376573088,778,2461,2066,?a
?b  hasCapital  ?a   ,?a  isLocatedIn  ?b,0.018391634,0.58025193,0.58357172,1428,2461,2447,?a
?a  isAffiliatedTo  ?b   ,?a  playsFor  ?b,0.683810077,0.584128915,0.647135431,171929,294334,265677,?a
?a  playsFor  ?b   ,?a  isAffiliatedTo  ?b,0.584128915,0.683810077,0.74659875,171929,251428,230283,?a
?e  isInterestedIn  ?a  ?e  isInterestedIn  ?b   ,?a  isInterestedIn  ?b,0.024271845,0.050505051,0.416666667,5,99,12,?a
?f  isInterestedIn  ?b  ?a  isInterestedIn  ?f   ,?a  isInterestedIn  ?b,0.014563107,0.6,0.6,3,5,5,?a
?a  dealsWith  ?b  ?b  hasNeighbor  ?a   ,?a  hasNeighbor  ?b,0.206208426,0.830357143,0.837837838,93,112,111,?b
?b  dealsWith  ?a  ?b  hasNeighbor  ?a   ,?a  hasNeighbor  ?b,0.206208426,0.861111111,0.861111111,93,108,108,?b
?b  dealsWith  ?a  ?a  dealsWith  ?b   ,?a  hasNeighbor  ?b,0.062084257,0.285714286,0.4,28,98,70,?b
?e  influences  ?a  ?e  isKnownFor  ?b   ,?a  isInterestedIn  ?b,0.048543689,0.031446541,0.158730159,10,318,63,?a
?a  hasNeighbor  ?f  ?b  hasNeighbor  ?f   ,?a  hasNeighbor  ?b,0.711751663,0.238484398,0.24189902,321,1346,1327,?b
?e  influences  ?a  ?e  isInterestedIn  ?b   ,?a  isInterestedIn  ?b,0.451456311,0.113831089,0.373493976,93,817,249,?a
?f  hasNeighbor  ?a  ?b  hasNeighbor  ?f   ,?a  hasNeighbor  ?b,0.689578714,0.230712166,0.233133433,311,1348,1334,?b
?f  hasNeighbor  ?b  ?a  hasNeighbor  ?f   ,?a  hasNeighbor  ?b,0.691796009,0.231454006,0.231454006,312,1348,1348,?b
?a  influences  ?f  ?f  isInterestedIn  ?b   ,?a  isInterestedIn  ?b,0.325242718,0.087581699,0.35828877,67,765,187,?a
?f  dealsWith  ?b  ?a  hasNeighbor  ?f   ,?a  hasNeighbor  ?b,0.290465632,0.079297821,0.110455312,131,1652,1186,?b
?a  hasNeighbor  ?f  ?f  imports  ?b   ,?a  imports  ?b,0.323717949,0.179396092,0.226457399,101,563,446,?a
?e  hasNeighbor  ?a  ?e  imports  ?b   ,?a  imports  ?b,0.323717949,0.175043328,0.219088937,101,577,461,?a
?e  hasNeighbor  ?a  ?e  hasNeighbor  ?b   ,?a  hasNeighbor  ?b,0.66518847,0.218978102,0.218978102,300,1370,1370,?b
?a  dealsWith  ?f  ?f  exports  ?b   ,?a  imports  ?b,0.381410256,0.08880597,0.107692308,119,1340,1105,?a
?e  dealsWith  ?b  ?e  hasNeighbor  ?a   ,?a  hasNeighbor  ?b,0.299334812,0.079928952,0.111019737,135,1689,1216,?b
?a  dealsWith  ?f  ?f  imports  ?b   ,?a  imports  ?b,0.512820513,0.133111481,0.167364017,160,1202,956,?a
?e  dealsWith  ?a  ?e  imports  ?b   ,?a  imports  ?b,0.330128205,0.144866385,0.188299817,103,711,547,?a
?f  exports  ?b  ?a  hasNeighbor  ?f   ,?a  exports  ?b,0.318936877,0.165517241,0.215246637,96,580,446,?a
?e  exports  ?b  ?e  hasNeighbor  ?a   ,?a  exports  ?b,0.318936877,0.156351792,0.21286031,96,614,451,?a
?e  hasNeighbor  ?a  ?e  hasOfficialLanguage  ?b   ,?a  hasOfficialLanguage  ?b,0.219917012,0.299435028,0.582417582,53,177,91,?a
?e  dealsWith  ?a  ?e  exports  ?b   ,?a  exports  ?b,0.285714286,0.100584795,0.131498471,86,855,654,?a
?a  dealsWith  ?f  ?f  hasOfficialLanguage  ?b   ,?a  hasOfficialLanguage  ?b,0.273858921,0.127413127,0.255813953,66,518,258,?a
?a  hasNeighbor  ?f  ?f  hasOfficialLanguage  ?b   ,?a  hasOfficialLanguage  ?b,0.203319502,0.318181818,0.590361446,49,154,83,?a
?a  dealsWith  ?f  ?f  exports  ?b   ,?a  exports  ?b,0.395348837,0.08880597,0.116666667,119,1340,1020,?a
?a  hasNeighbor  ?f  ?f  owns  ?b   ,?a  owns  ?b,0.024475524,0.109375,0.109375,14,128,128,?b
?e  dealsWith  ?a  ?e  hasOfficialLanguage  ?b   ,?a  hasOfficialLanguage  ?b,0.182572614,0.178861789,0.31884058,44,246,138,?a
?e  hasNeighbor  ?a  ?e  owns  ?b   ,?a  owns  ?b,0.024475524,0.106870229,0.106870229,14,131,131,?b
?b  isLocatedIn  ?f  ?a  owns  ?f   ,?a  owns  ?b,0.01048951,0.0041841,0.130434783,6,1434,46,?b
?e  dealsWith  ?a  ?e  owns  ?b   ,?a  owns  ?b,0.034965035,0.108695652,0.108695652,20,184,184,?b
?a  hasChild  ?f  ?f  owns  ?b   ,?a  owns  ?b,0.024475524,0.388888889,0.388888889,14,36,36,?b
?e  hasOfficialLanguage  ?b  ?e  isLocatedIn  ?a   ,?a  hasOfficialLanguage  ?b,0.053941909,0.083870968,0.764705882,13,155,17,?a
?b  hasCapital  ?f  ?a  livesIn  ?f   ,?a  isPoliticianOf  ?b,0.027677497,0.028930818,0.220095694,46,1590,209,?a
?a  isLeaderOf  ?f  ?f  isLocatedIn  ?b   ,?a  isPoliticianOf  ?b,0.021058965,0.029585799,0.147679325,35,1183,237,?a
?a  hasChild  ?f  ?f  isPoliticianOf  ?b   ,?a  isPoliticianOf  ?b,0.308062575,0.573991031,0.863406408,512,892,593,?a
?f  isLocatedIn  ?b  ?a  livesIn  ?f   ,?a  isPoliticianOf  ?b,0.083032491,0.027952198,0.275449102,138,4937,501,?a
?f  isLocatedIn  ?b  ?a  owns  ?f   ,?a  owns  ?b,0.01048951,0.005499542,0.315789474,6,1091,19,?b
?e  hasChild  ?a  ?e  owns  ?b   ,?a  owns  ?b,0.022727273,0.232142857,0.232142857,13,56,56,?b
?a  hasChild  ?f  ?f  isCitizenOf  ?b   ,?a  isPoliticianOf  ?b,0.041516245,0.442307692,0.841463415,69,156,82,?a
?e  hasChild  ?a  ?e  isLeaderOf  ?b   ,?a  isPoliticianOf  ?b,0.013838748,0.105022831,0.264367816,23,219,87,?a
?a  isMarriedTo  ?f  ?f  isPoliticianOf  ?b   ,?a  isPoliticianOf  ?b,0.015643803,0.25,0.787878788,26,104,33,?a
?a  hasChild  ?f  ?f  isLeaderOf  ?b   ,?a  isPoliticianOf  ?b,0.028279182,0.133144476,0.37007874,47,353,127,?a
?e  hasChild  ?a  ?e  isCitizenOf  ?b   ,?a  isPoliticianOf  ?b,0.044524669,0.451219512,0.755102041,74,164,98,?a
?e  hasChild  ?a  ?e  isPoliticianOf  ?b   ,?a  isPoliticianOf  ?b,0.322503008,0.593576966,0.868719611,536,903,617,?a
?e  isMarriedTo  ?a  ?e  isPoliticianOf  ?b   ,?a  isPoliticianOf  ?b,0.015643803,0.257425743,0.787878788,26,101,33,?a
?a  graduatedFrom  ?f  ?f  isLocatedIn  ?b   ,?a  isPoliticianOf  ?b,0.286401925,0.036241815,0.211367673,476,13134,2252,?a
?a  diedIn  ?f  ?b  hasCapital  ?f   ,?a  isPoliticianOf  ?b,0.14801444,0.010449853,0.108465608,246,23541,2268,?a
?a  created  ?f  ?f  isLocatedIn  ?b   ,?a  isPoliticianOf  ?b,0.010830325,0.004850445,0.243243243,18,3711,74,?a
?f  graduatedFrom  ?b  ?a  hasAcademicAdvisor  ?f   ,?a  worksAt  ?b,0.020911128,0.07106599,0.115463918,56,788,485,?a
?e  hasChild  ?a  ?e  livesIn  ?b   ,?a  isPoliticianOf  ?b,0.010830325,0.097826087,0.178217822,18,184,101,?a
?a  hasAcademicAdvisor  ?f  ?f  worksAt  ?b   ,?a  worksAt  ?b,0.032113518,0.098737084,0.151408451,86,871,568,?a
?f  hasOfficialLanguage  ?b  ?a  isLocatedIn  ?f   ,?a  hasOfficialLanguage  ?b,0.095435685,0.0020856,0.547619048,23,11028,42,?a
?a  livesIn  ?b  ?a  wasBornIn  ?b   ,?a  isLeaderOf  ?b,0.010471204,0.108108108,0.32,8,74,25,?b
?e  hasAcademicAdvisor  ?a  ?e  worksAt  ?b   ,?a  worksAt  ?b,0.030246453,0.093425606,0.145945946,81,867,555,?a
?e  graduatedFrom  ?b  ?e  hasAcademicAdvisor  ?a   ,?a  worksAt  ?b,0.060492905,0.209032258,0.341772152,162,775,474,?a
?a  happenedIn  ?f  ?b  hasNeighbor  ?f   ,?a  happenedIn  ?b,0.054615756,0.084359836,0.101618705,226,2679,2224,?b
?a  diedIn  ?f  ?f  isLocatedIn  ?b   ,?a  isPoliticianOf  ?b,0.234055355,0.014256918,0.232794734,389,27285,1671,?a
?a  isLeaderOf  ?e  ?e  isLocatedIn  ?b   ,?a  isLeaderOf  ?b,0.053664921,0.03465765,0.128526646,41,1183,319,?b
?a  happenedIn  ?f  ?b  hasCapital  ?f   ,?a  happenedIn  ?b,0.02658289,0.150684932,0.241758242,110,730,455,?b
?a  hasChild  ?f  ?b  hasChild  ?f   ,?a  isMarriedTo  ?b,0.188449848,0.08783252,0.240620957,558,6353,2319,?a
?b  hasCapital  ?f  ?a  wasBornIn  ?f   ,?a  isPoliticianOf  ?b,0.098074609,0.002916756,0.117266187,163,55884,1390,?a
?a  hasChild  ?f  ?b  isMarriedTo  ?f   ,?a  hasChild  ?b,0.035549063,0.099863201,0.132366274,146,1462,1103,?b
?a  hasChild  ?f  ?f  isMarriedTo  ?b   ,?a  hasChild  ?b,0.035549063,0.098382749,0.130941704,146,1484,1115,?b
?f  hasChild  ?b  ?a  isMarriedTo  ?f   ,?a  hasChild  ?b,0.197467738,0.479597871,0.479597871,811,1691,1691,?b
?e  graduatedFrom  ?b  ?e  hasAcademicAdvisor  ?a   ,?a  graduatedFrom  ?b,0.017024662,0.138064516,0.176276771,107,775,607,?a
?a  happenedIn  ?e  ?e  isLocatedIn  ?b   ,?a  happenedIn  ?b,0.132189464,0.111929609,0.143456596,547,4887,3813,?b
?a  hasAcademicAdvisor  ?f  ?f  worksAt  ?b   ,?a  graduatedFrom  ?b,0.033571997,0.242250287,0.285907859,211,871,738,?a
?f  graduatedFrom  ?b  ?a  hasAcademicAdvisor  ?f   ,?a  graduatedFrom  ?b,0.020843278,0.166243655,0.199088146,131,788,658,?a
?e  graduatedFrom  ?b  ?e  hasChild  ?a   ,?a  graduatedFrom  ?b,0.026093874,0.123680241,0.186575654,164,1326,879,?a
?f  graduatedFrom  ?b  ?a  hasChild  ?f   ,?a  graduatedFrom  ?b,0.025775656,0.120446097,0.187066975,162,1345,866,?a
?e  hasChild  ?b  ?e  isMarriedTo  ?a   ,?a  hasChild  ?b,0.197467738,0.469328704,0.469328704,811,1728,1728,?b
?a  hasNeighbor  ?f  ?f  participatedIn  ?b   ,?a  participatedIn  ?b,0.091290402,0.145726664,0.145726664,370,2539,2539,?b
?e  hasNeighbor  ?a  ?e  participatedIn  ?b   ,?a  participatedIn  ?b,0.091537133,0.139055472,0.139055472,371,2668,2668,?b
?b  hasCapital  ?f  ?a  livesIn  ?f   ,?a  livesIn  ?b,0.076260233,0.111320755,0.111320755,177,1590,1590,?a
?e  dealsWith  ?a  ?e  participatedIn  ?b   ,?a  participatedIn  ?b,0.147051567,0.142822909,0.142822909,596,4173,4173,?b
?a  actedIn  ?b  ?a  created  ?b   ,?a  directed  ?b,0.027070064,0.38762215,0.56937799,119,307,209,?b
?a  isLeaderOf  ?f  ?f  isLocatedIn  ?b   ,?a  livesIn  ?b,0.028436019,0.055790363,0.192982456,66,1183,342,?a
?a  hasChild  ?f  ?f  livesIn  ?b   ,?a  livesIn  ?b,0.011202068,0.104417671,0.346666667,26,249,75,?a
?a  isMarriedTo  ?f  ?f  livesIn  ?b   ,?a  livesIn  ?b,0.011632917,0.129186603,0.442622951,27,209,61,?a
