Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  parent  ?b   ,?a  predecessor  ?b,0.295652174,0.111353712,0.457399103,102,916,223,?b
?a  mother  ?b   ,?a  predecessor  ?b,0.04057971,0.035087719,0.466666667,14,399,30,?b
?b  child  ?a   ,?a  predecessor  ?b,0.353623188,0.079478827,0.176811594,122,1535,690,?b
?a  father  ?b   ,?a  predecessor  ?b,0.272463768,0.175046555,0.460784314,94,537,204,?b
?b  successor  ?a   ,?a  predecessor  ?b,0.724637681,0.730994152,0.925925926,250,342,270,?b
?b  predecessor  ?a   ,?a  successor  ?b,0.730994152,0.724637681,0.92936803,250,345,269,?a
?b  parent  ?a   ,?a  successor  ?b,0.280701754,0.104803493,0.461538462,96,916,208,?a
?b  mother  ?a   ,?a  successor  ?b,0.043859649,0.037593985,0.555555556,15,399,27,?a
?a  child  ?b   ,?a  successor  ?b,0.362573099,0.080781759,0.20228385,124,1535,613,?a
?b  father  ?a   ,?a  successor  ?b,0.277777778,0.176908752,0.477386935,95,537,199,?a
?b  child  ?a   ,?a  father  ?b,0.359404097,0.125732899,0.533149171,193,1535,362,?a
?a  parent  ?b   ,?a  father  ?b,0.726256983,0.425764192,0.544692737,390,916,716,?a
?b  successor  ?a   ,?a  father  ?b,0.176908752,0.277777778,0.454545455,95,342,209,?a
?a  predecessor  ?b   ,?a  father  ?b,0.175046555,0.272463768,0.472361809,94,345,199,?a
?b  child  ?a   ,?a  mother  ?b,0.390977444,0.101628664,0.481481481,156,1535,324,?a
?a  parent  ?b   ,?a  mother  ?b,0.751879699,0.327510917,0.501672241,300,916,598,?a
?b  spouse  ?a   ,?a  spouse  ?b,0.782707622,0.782707622,0.942465753,688,879,730,?a
?b  child  ?a   ,?a  parent  ?b,0.35371179,0.211074919,0.278350515,324,1535,1164,?b
?b  successor  ?a   ,?a  parent  ?b,0.104803493,0.280701754,0.524590164,96,342,183,?b
