Alfonso_X_of_Castile,parent,Ferdinand_III_of_Castile
Sancho_I_of_Portugal,parent,Afonso_I_of_Portugal
George_II_of_Great_Britain,parent,George_I_of_Great_Britain
Louis_the_Stammerer,parent,Charles_the_Bald
Joan_I_Countess_of_Auvergne,parent,William_XII_Count_of_Auvergne
Charles_Emmanuel_III_of_Sardinia,parent,Victor_Amadeus_II_of_Sardinia
Victor_Amadeus_II_of_Sardinia,parent,Charles_Emmanuel_II_Duke_of_Savoy
Ramon_Berenguer_I_Count_of_Barcelona,parent,Berenguer_Ramon_I_Count_of_Barcelona
Philip_the_Good,parent,John_the_Fearless
Philip_VI_of_France,parent,Charles_Count_of_Valois
Louis_III_of_France,parent,Louis_the_Stammerer
Francis_II_of_France,parent,Henry_II_of_France
Amaury_I_de_Montfort,parent,Guillaume_de_Montfort_of_Hainaut
Afonso_V_of_Portugal,parent,Edward_King_of_Portugal
Robert_II_of_Scotland,parent,Marjorie_Bruce
Eleanor_of_Lancaster,parent,Maud_Chaworth
Landgravine_Elisabeth_Amalie_of_Hesse_Darmstadt,parent,Sophia_Eleonore_of_Saxony
Alfonso_VIII_of_Castile,parent,Blanca_of_Navarre_Queen_of_Castile
Isabella_of_Bourbon,parent,Agnes_of_Burgundy_Duchess_of_Bourbon
Marie_of_Anjou,parent,Yolande_of_Aragon
Louis_XVII,parent,Marie_Antoinette
Joanna_of_Castile,parent,Isabella_I_of_Castile
Taddea_Visconti,parent,Beatrice_Regina_della_Scala
Prince_Philippe_Count_of_Paris,parent,Duchess_Helene_of_Mecklenburg_Schwerin
Francis_II_of_France,parent,Catherine_de_Medici
Countess_Sophia_Albertine_of_Erbach_Erbach,parent,Countess_Amalia_Katharina_of_Waldeck
Alice_Holland_Countess_of_Kent,parent,Eleanor_of_Lancaster
Frederick_II_Count_of_Vaud_mont,parent,Marie_Countess_of_Harcourt
Magdalene_Sibylle_of_Prussia,parent,Marie_Eleonore_of_Cleves
Alfred_the_Great,parent,Osburh
Leopold_III_Duke_of_Austria,parent,Joanna_of_Pfirt
Theobald_III_Count_of_Blois,parent,Ermengarde_of_Auvergne
Francis_I_Holy_Roman_Emperor,parent,_lisabeth_Charlotte_d_Orl_ans
Charles_V_Duke_of_Lorraine,parent,Claude_Fran_oise_de_Lorraine
Philip_the_Good,parent,Margaret_of_Bavaria
Alfonso_II_of_Aragon,parent,Petronilla_of_Aragon
Victor_Amadeus_III_of_Sardinia,parent,Polyxena_of_Hesse_Rotenburg
Charlotte_Agla__d_Orl_ans,parent,Fran_oise_Marie_de_Bourbon
Cosimo_I_de_Medici_Grand_Duke_of_Tuscany,parent,Maria_Salviati
Anne_of_Austria,parent,Margaret_of_Austria_Queen_of_Spain
Saint_Margaret_of_Scotland,parent,Agatha_wife_of_Edward_the_Exile
Nicolas_Duke_of_Merc_ur,parent,Ren_e_of_Bourbon
Francis_II_Duke_of_Brittany,parent,Margaret_Countess_of_Vertus
Isabella_of_France,parent,Joan_I_of_Navarre
Henry_X_Duke_of_Bavaria,parent,Wulfhilde_of_Saxony
Matthias_I_Duke_of_Lorraine,parent,Adelaide_of_Leuven
William_IV_Duke_of_Aquitaine,parent,Gerloc
Philip_I_of_Castile,parent,Mary_of_Burgundy
Marie_Th_r_se_of_France,parent,Marie_Antoinette
Maria_Teresa_Felicitas_d_Este,parent,Charlotte_Agla__d_Orl_ans
Welf_I_Duke_of_Bavaria,parent,Kunigunde_of_Altdorf
Arthur_II_Duke_of_Brittany,parent,Beatrice_of_England
Margaret_of_Bourbon_1438_1483,parent,Agnes_of_Burgundy_Duchess_of_Bourbon
Frederick_III_Holy_Roman_Emperor,parent,Cymburgis_of_Masovia
Otto_V_Duke_of_Brunswic_L_neburg,parent,Magdalene_of_Brandenburg_1412_1454
Maria_of_Aragon_Queen_of_Portugal,parent,Isabella_I_of_Castile
Margaret_I_Countess_of_Flanders,parent,Sibylla_of_Anjou
Benedicta_Henrietta_of_the_Palatinate,parent,Anne_Gonzaga
Leopold_Duke_of_Lorraine,parent,Eleonore_of_Austria_Queen_of_Poland
Edward_King_of_Portugal,parent,Philippa_of_Lancaster
Jacquetta_of_Luxembourg,parent,Margaret_of_Baux
Charles_the_Fat,parent,Hemma
Joanna_of_Bourbon,parent,Isabella_of_Valois_Duchess_of_Bourbon
Isabella_of_Aragon_Queen_of_France,parent,Violant_of_Hungary
Maria_Luisa_of_Parma,parent,Louise__lisabeth_of_France
Henrietta_of_England,parent,Henrietta_Maria
Joanna_of_Austria_Grand_Duchess_of_Tuscany,parent,Anne_of_Bohemia_and_Hungary
Valdemar_I_of_Denmark,parent,Ingeborg_of_Kiev
Blanche_of_Artois,parent,Matilda_of_Brabant_Countess_of_Artois
Albert_I_of_Germany,parent,Gertrude_of_Hohenberg
Peter_I_Duke_of_Bourbon,parent,Mary_of_Avesnes
Margaret_of_Provence,parent,Beatrice_of_Savoy
Philippe_II_Duke_of_Orl_ans,parent,Elizabeth_Charlotte_Madame_Palatine
Beatrice_of_Silesia,parent,Beatrice_of_Brandenburg
John_the_Fearless,parent,Margaret_III_Countess_of_Flanders
Maria_Christina_of_the_Two_Sicilies,parent,Mar_a_Isabella_of_Spain
Ingeborg_of_Denmark_Queen_of_France,parent,Sophia_of_Minsk
Louis_I_of_Anjou,parent,Bonne_of_Luxembourg
Alfonso_II_Count_of_Provence,parent,Sancha_of_Castile_Queen_of_Aragon
Louis_Philippe_II_Duke_of_Orl_ans,parent,Louise_Henriette_de_Bourbon
Baldwin_V_Count_of_Flanders,parent,Ogive_of_Luxembourg
Adelaide_of_Maurienne,parent,Gisela_of_Burgundy_Marchioness_of_Montferrat
Princess_Elisabeth_Albertine_of_Saxe_Hildburghausen,parent,Countess_Sophia_Albertine_of_Erbach_Erbach
Blanche_of_Brittany,parent,Beatrice_of_England
