Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?b  parent  ?a   ,?a  successor  ?b,0.31920904,0.119450317,0.478813559,113,946,236,?a
?b  father  ?a   ,?a  successor  ?b,0.288135593,0.181818182,0.490384615,102,561,208,?a
?b  mother  ?a   ,?a  successor  ?b,0.031073446,0.026960784,0.423076923,11,408,26,?a
?b  predecessor  ?a   ,?a  successor  ?b,0.757062147,0.748603352,0.92733564,268,358,289,?a
?a  child  ?b   ,?a  successor  ?b,0.358757062,0.084217507,0.196899225,127,1508,645,?a
?b  name  ?a   ,?a  name  ?b,0.164102564,0.164102564,1,96,585,96,?a
?b  child  ?a   ,?a  predecessor  ?b,0.354748603,0.084217507,0.190404798,127,1508,667,?b
?a  mother  ?b   ,?a  predecessor  ?b,0.027932961,0.024509804,0.4,10,408,25,?b
?a  parent  ?b   ,?a  predecessor  ?b,0.32122905,0.121564482,0.481171548,115,946,239,?b
?a  father  ?b   ,?a  predecessor  ?b,0.296089385,0.188948307,0.490740741,106,561,216,?b
?b  successor  ?a   ,?a  predecessor  ?b,0.748603352,0.757062147,0.937062937,268,354,286,?b
?b  child  ?a   ,?a  father  ?b,0.354723708,0.131962865,0.557422969,199,1508,357,?a
?a  parent  ?b   ,?a  father  ?b,0.768270945,0.455602537,0.55974026,431,946,770,?a
?a  predecessor  ?b   ,?a  father  ?b,0.188948307,0.296089385,0.512077295,106,358,207,?a
?b  successor  ?a   ,?a  father  ?b,0.181818182,0.288135593,0.492753623,102,354,207,?a
?a  parent  ?b   ,?a  mother  ?b,0.764705882,0.329809725,0.492113565,312,946,634,?a
?b  child  ?a   ,?a  mother  ?b,0.389705882,0.105437666,0.484756098,159,1508,328,?a
?b  successor  ?a   ,?a  parent  ?b,0.119450317,0.31920904,0.528037383,113,354,214,?b
?b  child  ?a   ,?a  parent  ?b,0.358350951,0.224801061,0.288510638,339,1508,1175,?b
?a  predecessor  ?b   ,?a  parent  ?b,0.121564482,0.32122905,0.537383178,115,358,214,?b
?a  mother  ?b   ,?a  parent  ?b,0.329809725,0.764705882,0.925816024,312,408,337,?b
?a  father  ?b   ,?a  parent  ?b,0.455602537,0.768270945,0.92887931,431,561,464,?b
?b  spouse  ?a   ,?a  spouse  ?b,0.765317919,0.765317919,0.932394366,662,865,710,?a
?b  predecessor  ?a   ,?a  child  ?b,0.084217507,0.354748603,0.538135593,127,358,236,?b
?b  mother  ?a   ,?a  child  ?b,0.105437666,0.389705882,0.633466135,159,408,251,?b
?b  father  ?a   ,?a  child  ?b,0.131962865,0.354723708,0.718411552,199,561,277,?b
?a  successor  ?b   ,?a  child  ?b,0.084217507,0.358757062,0.510040161,127,354,249,?b
?b  parent  ?a   ,?a  child  ?b,0.224801061,0.358350951,0.654440154,339,946,518,?b
?b  parent  ?a  ?b  predecessor  ?a   ,?a  successor  ?b,0.254237288,0.782608696,0.989010989,90,115,91,?a
?b  predecessor  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.042372881,0.055970149,0.319148936,15,268,47,?a
?a  name  ?f  ?b  predecessor  ?f   ,?a  successor  ?b,0.031073446,0.647058824,0.733333333,11,17,15,?a
?b  father  ?a  ?b  parent  ?a   ,?a  successor  ?b,0.228813559,0.187935035,0.493902439,81,431,164,?a
?b  mother  ?a  ?b  predecessor  ?a   ,?a  successor  ?b,0.025423729,0.9,1,9,10,9,?a
?b  predecessor  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.042372881,0.054347826,0.333333333,15,276,45,?a
?f  marriedTo  ?a  ?b  parent  ?f   ,?a  successor  ?b,0.011299435,0.363636364,0.8,4,11,5,?a
