Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable,F1_Score
?b  husband  ?a   ,?a  wife  ?b,0.828349945,0.794899044,0.958974359,748,941,780,?a,0.8888888891135006
?b  wife  ?a   ,?a  husband  ?b,0.794899044,0.828349945,0.982917214,748,903,761,?b,0.8789659226299452
?a  father  ?f  ?b  mother  ?f   ,?a  husband  ?b,0.518597237,0.788368336,0.981891348,488,619,497,?b,0.6787204450569087
?a  brother  ?f  ?b  mother  ?f   ,?a  son  ?b,0.352727273,0.798353909,0.843478261,582,729,690,?a,0.497435897729783
?b  father  ?f  ?a  mother  ?f   ,?a  wife  ?b,0.522702104,0.762520194,0.977225673,472,619,483,?a,0.681096681043618
?a  brother  ?f  ?b  father  ?f   ,?a  son  ?b,0.349090909,0.760898283,0.804469274,576,757,716,?a,0.4868977176255919
?a  brother  ?e  ?e  daughter  ?b   ,?a  son  ?b,0.478787879,0.764023211,0.81025641,790,1034,975,?a,0.6019047620016328
?a  brother  ?f  ?f  son  ?b   ,?a  son  ?b,0.564242424,0.786982249,0.834229391,931,1183,1116,?a,0.673174258788882
?a  mother  ?f  ?b  sister  ?f   ,?a  mother  ?b,0.313422347,0.805054152,1.0,446,554,446,?b,0.4772605669697807
?b  brother  ?f  ?a  mother  ?f   ,?a  mother  ?b,0.415319747,0.810699588,1.0,591,729,591,?b,0.5868917576827959
?a  mother  ?e  ?e  sister  ?b   ,?a  mother  ?b,0.501054111,0.811149033,1.0,713,879,713,?b,0.6676029962253639
?f  brother  ?b  ?a  mother  ?f   ,?a  mother  ?b,0.605059733,0.802423113,1.0,861,1073,861,?b,0.7539404553736943
?a  daughter  ?f  ?b  husband  ?f   ,?a  daughter  ?b,0.295471418,0.783464567,0.867102397,398,508,459,?b,0.4407530455049668
?b  mother  ?f  ?a  sister  ?f   ,?a  daughter  ?b,0.3281366,0.797833935,0.827715356,442,554,534,?b,0.4699627859359345
?b  father  ?f  ?a  sister  ?f   ,?a  daughter  ?b,0.341499629,0.83032491,0.856610801,460,554,537,?b,0.4883227178631487
?a  daughter  ?f  ?f  wife  ?b   ,?a  daughter  ?b,0.291759465,0.795546559,0.871396896,393,494,451,?b,0.4371523910354484
?f  daughter  ?b  ?a  sister  ?f   ,?a  daughter  ?b,0.474387528,0.799749687,0.799749687,639,799,799,?b,0.5955265611399692
?a  sister  ?f  ?f  son  ?b   ,?a  daughter  ?b,0.519673348,0.811123986,0.843373494,700,863,830,?b,0.6430868165885644
?b  son  ?f  ?f  wife  ?a   ,?a  father  ?b,0.282142857,0.765751212,0.918604651,474,619,516,?b,0.4316939888858431
?a  father  ?f  ?f  sister  ?b   ,?a  father  ?b,0.4125,0.7875,1.0,693,880,693,?b,0.584070796460177
?a  father  ?f  ?b  sister  ?f   ,?a  father  ?b,0.258928571,0.785198556,1.0,435,554,435,?b,0.4113475171896786
?a  husband  ?f  ?b  son  ?f   ,?a  father  ?b,0.286904762,0.753125,0.911153119,482,640,529,?b,0.4363965596287458
?f  brother  ?b  ?a  father  ?f   ,?a  father  ?b,0.50952381,0.791127542,1.0,856,1082,856,?b,0.6750788647712684
?b  brother  ?f  ?a  father  ?f   ,?a  father  ?b,0.355952381,0.78996037,1.0,598,757,598,?b,0.5250219491299377
?a  daughter  ?f  ?b  sister  ?f   ,?a  niece  ?b,0.298724954,0.779097387,0.796116505,656,842,824,?b,0.4344370856251358
?e  brother  ?b  ?a  daughter  ?e   ,?a  niece  ?b,0.449908925,0.792301524,0.806530612,988,1247,1225,?b,0.5776088859650588
?e  nephew  ?b  ?a  sister  ?e   ,?a  niece  ?b,0.707650273,0.780904523,0.793667007,1554,1990,1958,?b,0.7481945111224497
?a  daughter  ?f  ?f  sister  ?b   ,?a  niece  ?b,0.229508197,0.786271451,0.80127186,504,641,629,?b,0.3568141596193812
?a  sister  ?f  ?b  uncle  ?f   ,?a  niece  ?b,0.453551913,0.783634933,0.793625498,996,1271,1255,?b,0.577223993392994
?b  brother  ?f  ?a  daughter  ?f   ,?a  niece  ?b,0.397996357,0.798173516,0.810760668,874,1095,1078,?b,0.533903481988676
?f  niece  ?b  ?a  sister  ?f   ,?a  niece  ?b,0.631602914,0.771412681,0.771412681,1387,1798,1798,?b,0.6945418125821365
?b  brother  ?f  ?a  sister  ?f   ,?a  sister  ?b,0.477194703,0.758970359,0.783413849,973,1282,1242,?b,0.5931118560262502
?b  aunt  ?f  ?a  sister  ?f   ,?a  niece  ?b,0.39298725,0.76984835,0.781702899,863,1121,1104,?b,0.5230303035341752
?a  brother  ?f  ?b  sister  ?f   ,?a  brother  ?b,0.402232487,0.815132605,0.834664537,1045,1282,1252,?b,0.542857143341649
?b  daughter  ?f  ?a  sister  ?f   ,?a  aunt  ?b,0.280649295,0.780285036,0.803178484,657,842,818,?b,0.4159544157499746
?a  aunt  ?f  ?b  sister  ?f   ,?a  aunt  ?b,0.370781717,0.774308653,0.794871795,868,1121,1092,?b,0.5056801629487512
?a  sister  ?f  ?b  son  ?f   ,?a  aunt  ?b,0.333190944,0.77689243,0.797546012,780,1004,978,?b,0.4700210906022875
?a  aunt  ?f  ?b  brother  ?f   ,?a  aunt  ?b,0.461341307,0.772532189,0.795287187,1080,1398,1358,?b,0.5839416057215927
?f  father  ?b  ?a  sister  ?f   ,?a  aunt  ?b,0.370781717,0.778475336,0.800738007,868,1115,1084,?b,0.5068613135917087
?a  aunt  ?f  ?f  sister  ?b   ,?a  aunt  ?b,0.607432721,0.77493188,0.793969849,1422,1835,1791,?b,0.6882865439158272
?a  brother  ?f  ?b  son  ?f   ,?a  uncle  ?b,0.394650055,0.785557987,0.810383747,1077,1371,1329,?b,0.5308033513978657
?a  brother  ?f  ?b  daughter  ?f   ,?a  uncle  ?b,0.318798095,0.794520548,0.817669173,870,1095,1064,?b,0.4587397842990502
?b  brother  ?f  ?a  uncle  ?f   ,?a  uncle  ?b,0.473799927,0.77286312,0.791794244,1293,1673,1633,?b,0.5928473180463474
?a  aunt  ?e  ?e  brother  ?b   ,?a  aunt  ?b,0.720632208,0.769265846,0.790163934,1687,2193,2135,?b,0.7537980335144201
?b  sister  ?f  ?a  uncle  ?f   ,?a  uncle  ?b,0.369732503,0.7938631,0.813709677,1009,1271,1240,?b,0.508440413358482
?a  brother  ?f  ?f  father  ?b   ,?a  uncle  ?b,0.42139978,0.788751715,0.809289233,1150,1458,1421,?b,0.5542168673647999
?a  brother  ?f  ?f  mother  ?b   ,?a  uncle  ?b,0.255771345,0.779017857,0.800458716,698,896,872,?b,0.3876700919011109
?e  sister  ?b  ?a  uncle  ?e   ,?a  uncle  ?b,0.610113595,0.779859485,0.798178332,1665,2135,2086,?b,0.6915887853238023
?e  brother  ?b  ?a  uncle  ?e   ,?a  uncle  ?b,0.72224258,0.781522601,0.799270073,1971,2522,2466,?b,0.7588065449236961
?b  sister  ?f  ?a  son  ?f   ,?a  nephew  ?b,0.274040155,0.774900398,0.797131148,778,1004,976,?b,0.4078636960147315
?b  brother  ?f  ?a  son  ?f   ,?a  nephew  ?b,0.380767876,0.788475565,0.800148038,1081,1371,1351,?b,0.5159904533470913
?a  brother  ?f  ?b  uncle  ?f   ,?a  nephew  ?b,0.462486791,0.784817693,0.7890625,1313,1673,1664,?b,0.5831667776054655
?f  sister  ?b  ?a  son  ?f   ,?a  nephew  ?b,0.219443466,0.757907543,0.777777778,623,822,801,?b,0.3423076923180721
?a  brother  ?e  ?e  nephew  ?b   ,?a  nephew  ?b,0.700246566,0.784840111,0.784840111,1988,2533,2533,?b,0.7401340286709862
?f  brother  ?b  ?a  son  ?f   ,?a  nephew  ?b,0.42197957,0.796013289,0.814411965,1198,1505,1471,?b,0.5559164731640694
?a  brother  ?f  ?f  niece  ?b   ,?a  nephew  ?b,0.61113068,0.779775281,0.787205082,1735,2225,2204,?b,0.6880824908232815
