101	wife	104
856	wife	828
2350	wife	2354
1216	wife	19
2133	wife	870
138	wife	2976
2245	wife	2247
332	wife	323
561	wife	566
1793	wife	1792
920	wife	529
859	wife	864
2824	wife	2821
2284	wife	2287
2558	wife	2553
744	wife	750
1240	wife	1417
2642	wife	2644
1800	wife	1801
2662	wife	1326
2919	wife	2517
1292	wife	1291
284	wife	1709
1395	wife	1405
830	wife	839
2311	wife	2310
1123	wife	1125
156	wife	1559
1413	wife	1412
342	wife	341
821	wife	820
2508	wife	897
1283	wife	1585
1510	wife	1374
3	wife	20
1956	wife	1913
188	wife	187
1258	wife	1451
1532	wife	1548
2106	wife	2332
2079	wife	2080
125	wife	122
1571	wife	1575
1158	wife	1193
1828	wife	2863
2803	wife	2781
812	wife	811
1705	wife	2511
1549	wife	1548
1718	wife	1717
224	wife	488
1299	wife	1300
2742	wife	2744
1535	wife	1534
1059	wife	608
2281	wife	2282
2088	wife	2095
985	wife	984
399	wife	398
2090	wife	2098
89	wife	88
2304	wife	2303
2912	wife	2911
1851	wife	1382
2832	wife	2833
2216	wife	1919
1056	wife	1055
1987	wife	1988
2339	wife	2340
985	wife	1016
756	wife	755
302	wife	301
248	wife	212
1037	wife	1031
1862	wife	1861
514	wife	417
2262	wife	2263
1821	wife	1824
736	wife	758
348	wife	347
426	wife	552
436	wife	440
1587	wife	1285
2358	wife	2355
1091	wife	1090
2842	wife	2843
1255	wife	1351
1345	wife	2278
1339	wife	987
2692	wife	2691
2220	wife	2219
1806	wife	1811
817	wife	816
2477	wife	2451
790	wife	789
2393	wife	2392
2308	wife	2307
2955	wife	2954
2128	wife	2129
1039	wife	1045
2575	wife	2564
267	wife	264
1028	wife	1027
1985	wife	1989
1251	wife	835
1262	wife	1261
1842	wife	1843
502	wife	102
771	wife	772
1603	wife	1602
2409	wife	2414
1628	wife	1627
1398	wife	1397
2571	wife	2563
1595	wife	1224
940	wife	293
1954	wife	1952
2696	wife	2695
1396	wife	1391
2892	wife	2893
379	wife	378
1747	wife	1891
428	wife	429
183	wife	182
596	wife	1367
671	wife	672
2102	wife	1436
1046	wife	1040
2319	wife	2320
1656	wife	1646
651	wife	650
1526	wife	1525
2874	wife	1246
1365	wife	1879
518	wife	420
1582	wife	1367
2089	wife	2097
1707	wife	1706
2390	wife	2391
782	wife	781
252	wife	261
996	wife	1022
1504	wife	1278
204	wife	247
2449	wife	1698
51	wife	32
2218	wife	2217
1546	wife	1545
2172	wife	2173
2319	wife	2312
579	wife	578
1593	wife	1900
555	wife	202
363	wife	362
1623	wife	1622
2881	wife	2880
656	wife	655
780	wife	779
1054	wife	260
2156	wife	504
2227	wife	1515
959	wife	960
1856	wife	1853
457	wife	456
322	wife	321
1614	wife	1613
1644	wife	1643
583	wife	582
2969	wife	2970
1512	wife	1511
509	wife	2163
2673	wife	2674
2634	wife	2636
361	wife	360
453	wife	452
1836	wife	1835
1247	wife	1248
1121	wife	1122
15	wife	105
123	wife	126
2969	wife	112
1916	wife	1915
1965	wife	1964
1931	wife	1932
2232	wife	2231
1619	wife	344
1911	wife	1912
581	wife	580
791	wife	792
1228	wife	1600
255	wife	1052
1247	wife	1250
1319	wife	1320
605	wife	604
2349	wife	2353
144	wife	1696
994	wife	1021
1537	wife	1536
1787	wife	1786
8	wife	201
147	wife	477
1295	wife	1294
185	wife	184
1833	wife	1832
1406	wife	164
157	wife	149
501	wife	507
314	wife	2980
24	wife	280
2081	wife	1335
1116	wife	2900
2240	wife	2239
383	wife	382
1821	wife	1823
853	wife	828
1328	wife	1236
96	wife	309
2225	wife	1511
375	wife	374
43	wife	42
1355	wife	1408
1321	wife	1322
138	wife	133
2929	wife	169
2118	wife	2122
2345	wife	2343
2296	wife	2298
556	wife	553
343	wife	761
350	wife	349
1274	wife	1592
1780	wife	1779
1495	wife	1285
12	wife	4
1420	wife	1341
