1793	mother	1809
715	mother	709
2374	mother	2376
1416	mother	1437
1262	mother	1273
2459	mother	2533
2106	mother	2109
2512	mother	2554
1582	mother	1882
1262	mother	1278
1802	mother	1808
554	mother	562
1464	mother	1821
1549	mother	1552
2556	mother	2551
1967	mother	1972
143	mother	144
2347	mother	2349
1137	mother	1138
707	mother	713
2478	mother	2480
1798	mother	1800
1078	mother	1081
1542	mother	1760
1601	mother	1225
715	mother	714
2453	mother	2473
1798	mother	1808
1372	mother	2451
53	mother	56
2347	mother	2343
848	mother	846
1793	mother	1805
882	mother	884
144	mother	1697
599	mother	1134
2558	mother	2561
1569	mother	150
1365	mother	1370
556	mother	162
554	mother	558
45	mother	149
2487	mother	2466
848	mother	844
2555	mother	2553
2908	mother	2975
1542	mother	1756
656	mother	657
1222	mother	1219
1892	mother	2471
1793	mother	1794
1262	mother	1280
2803	mother	2807
1970	mother	1977
596	mother	1887
170	mother	822
2512	mother	2552
1137	mother	1159
1243	mother	2065
1456	mother	1460
121	mother	445
233	mother	468
1243	mother	1331
1798	mother	1809
2908	mother	139
1420	mother	2423
1176	mother	1178
856	mother	844
1366	mother	1281
853	mother	843
410	mother	416
2556	mother	2552
2735	mother	2743
2345	mother	2356
2421	mother	2430
707	mother	711
1569	mother	1571
856	mother	850
1314	mother	1301
1512	mother	1514
833	mother	843
331	mother	764
1569	mother	151
2558	mother	2564
853	mother	852
2342	mother	2350
1262	mother	1266
833	mother	847
1074	mother	1076
856	mother	843
1277	mother	1271
163	mother	1357
2618	mother	1903
2764	mother	2765
1802	mother	1794
2894	mother	1429
238	mother	448
890	mother	888
1416	mother	1502
848	mother	847
243	mother	1712
2762	mother	2765
690	mother	1189
853	mother	850
163	mother	1355
2225	mother	1515
2135	mother	2136
2157	mother	2159
1793	mother	1800
2462	mother	2460
856	mother	842
556	mother	559
1069	mother	1072
2929	mother	2930
707	mother	719
1176	mother	1177
2614	mother	1696
243	mother	242
2886	mother	833
410	mother	511
554	mother	560
1802	mother	1805
1428	mother	2334
410	mother	412
2779	mother	2782
1444	mother	988
1075	mother	1080
1186	mother	1187
1593	mother	1744
856	mother	847
1542	mother	1761
402	mother	422
536	mother	539
859	mother	847
331	mother	1637
163	mother	1358
1793	mother	1804
833	mother	850
1132	mother	1124
1262	mother	1265
1892	mother	2470
626	mother	1154
238	mother	449
707	mother	693
1186	mother	1184
2886	mother	2888
2225	mother	1392
2225	mother	1513
2929	mother	2931
1450	mother	1449
1582	mother	1887
1366	mother	1368
1532	mother	1767
1970	mother	1968
1277	mother	1263
1074	mother	1077
